Subject,State,Frequency,Coherence
sub-01,Wake,Alpha,0.4819093786288146
sub-01,Wake,Beta,0.5490379009473215
sub-01,Wake,Delta,0.535698159644585
sub-01,Wake,Theta,0.5548737134561517
sub-02,Wake,Alpha,0.43185346175170847
sub-02,Wake,Beta,0.5042515116410985
sub-02,Wake,Delta,0.40342473616403446
sub-02,Wake,Theta,0.4612357353336538
sub-04,Wake,Alpha,0.4503787530512653
sub-04,Wake,Beta,0.4974052107250166
sub-04,Wake,Delta,0.47839664969618895
sub-04,Wake,Theta,0.5461648736696153
sub-05,Wake,Alpha,0.49472671202081764
sub-05,Wake,Beta,0.494268596449886
sub-05,Wake,Delta,0.43659487142490544
sub-05,Wake,Theta,0.6091347751924049
sub-06,Wake,Alpha,0.42295178315322146
sub-06,Wake,Beta,0.48634423624169804
sub-06,Wake,Delta,0.4383704221007467
sub-06,Wake,Theta,0.44441758782180873
sub-08,Wake,Alpha,0.5068917772487409
sub-08,Wake,Beta,0.5096805609789038
sub-08,Wake,Delta,0.4896256863682376
sub-08,Wake,Theta,0.5628685805922242
sub-10,Wake,Alpha,0.4809505677551518
sub-10,Wake,Beta,0.4785239652542942
sub-10,Wake,Delta,0.4507484729075368
sub-10,Wake,Theta,0.5404048542323204
sub-11,Wake,Alpha,0.5806569558546305
sub-11,Wake,Beta,0.583538031800969
sub-11,Wake,Delta,0.5145398417766326
sub-11,Wake,Theta,0.6380857155607405
sub-12,Wake,Alpha,0.47120605953383204
sub-12,Wake,Beta,0.4517001834038251
sub-12,Wake,Delta,0.48477554728093003
sub-12,Wake,Theta,0.5323978632408216
sub-13,Wake,Alpha,0.4202973822796405
sub-13,Wake,Beta,0.4110917907967158
sub-13,Wake,Delta,0.4794017701711517
sub-13,Wake,Theta,0.5435539063285849
sub-14,Wake,Alpha,0.5402591073473962
sub-14,Wake,Beta,0.5715741931293742
sub-14,Wake,Delta,0.44714125645415476
sub-14,Wake,Theta,0.5090922030061084
sub-15,Wake,Alpha,0.4112909282441634
sub-15,Wake,Beta,0.4677428986221929
sub-15,Wake,Delta,0.4155412126838459
sub-15,Wake,Theta,0.460188618437458
sub-17,Wake,Alpha,0.5140255338320348
sub-17,Wake,Beta,0.5454849579051778
sub-17,Wake,Delta,0.445575953459642
sub-17,Wake,Theta,0.5059468870887648
sub-18,Wake,Alpha,0.5477677046976732
sub-18,Wake,Beta,0.5369373651843669
sub-18,Wake,Delta,0.4660592878332059
sub-18,Wake,Theta,0.5800334401946904
sub-19,Wake,Alpha,0.48168031896337105
sub-19,Wake,Beta,0.5366818480226057
sub-19,Wake,Delta,0.5176162518231481
sub-19,Wake,Theta,0.581538111371687
sub-20,Wake,Alpha,0.5087412909548723
sub-20,Wake,Beta,0.5250964885760933
sub-20,Wake,Delta,0.5177359812345791
sub-20,Wake,Theta,0.5416921748105096
sub-21,Wake,Alpha,0.5355890291924602
sub-21,Wake,Beta,0.4765109077665095
sub-21,Wake,Delta,0.4430462418473787
sub-21,Wake,Theta,0.5587223980113227
sub-22,Wake,Alpha,0.46492601204655304
sub-22,Wake,Beta,0.4691802862502315
sub-22,Wake,Delta,0.4974186263271933
sub-22,Wake,Theta,0.5981372598410968
sub-23,Wake,Alpha,0.5481560811059452
sub-23,Wake,Beta,0.5656797039083593
sub-23,Wake,Delta,0.48349443411782267
sub-23,Wake,Theta,0.6070128961684677
sub-24,Wake,Alpha,0.48394752115355166
sub-24,Wake,Beta,0.5382424995121958
sub-24,Wake,Delta,0.5371013969314595
sub-24,Wake,Theta,0.5820242332976412
sub-25,Wake,Alpha,0.4200530117205709
sub-25,Wake,Beta,0.4302312275092133
sub-25,Wake,Delta,0.46619673908176407
sub-25,Wake,Theta,0.4567710868428886
