subject,session,main_stage,W
sub-01,task-rest_run-2,W,15
sub-02,task-rest_run-2,W,20
sub-04,task-sleep_run-5,W,20
sub-05,task-sleep_run-1,W,30
sub-06,task-sleep_run-1,W,30
sub-08,task-sleep_run-1,W,30
sub-09,task-sleep_run-1,W,26
sub-10,task-sleep_run-6,W,30
sub-11,task-sleep_run-1,W,25
sub-12,task-sleep_run-2,W,30
sub-13,task-sleep_run-2,W,30
sub-14,task-rest_run-1,W,13
sub-15,task-sleep_run-1,W,23
sub-17,task-sleep_run-2,W,29
sub-18,task-sleep_run-4,W,24
sub-19,task-rest_run-2,W,20
sub-20,task-sleep_run-4,W,29
sub-21,task-rest_run-2,W,15
sub-22,task-sleep_run-8,W,30
sub-23,task-sleep_run-6,W,26
sub-24,task-sleep_run-1,W,30
sub-25,task-sleep_run-6,W,26
sub-26,task-sleep_run-1,W,30
sub-27,task-sleep_run-1,W,16
sub-28,task-sleep_run-1,W,30
sub-29,task-sleep_run-1,W,30
sub-30,task-sleep_run-5,W,30
sub-32,task-sleep_run-4,W,30
sub-33,task-sleep_run-1,W,27
